Code;Betekenis;;;;;;;;;;;;;
257;Vervaardiging van scharen, messen en  bestek, hang- en sluitwerk en gereedschap;;;;;;;;;;;;;
2571;Vervaardiging van scharen, messen en bestek;;;;;;;;;;;;;
2572;Vervaardiging van hang- en sluitwerk;;;;;;;;;;;;;
2573;Vervaardiging van gereedschap;;;;;;;;;;;;;
;;;;;;;;;;;;;;
259;Vervaardiging van overige producten van metaal;;;;;;;;;;;;;
2591;Vervaardiging van stalen vaten ed;;;;;;;;;;;;;
2592;Vervaardiging van verpakkingsmiddelen van licht metaal;;;;;;;;;;;;;
2593;Vervaardiging van artikelen van draad en van kettingen en veren;;;;;;;;;;;;;
2594;Vervaardiging van bouten, schroeven en moeren;;;;;;;;;;;;;
2599;Vervaardiging van overige producten van metaal (rest);;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
26;Vervaardiging van computers en van elektronische en optische apparatuur;;;;;;;;;;;;;
;;;;;;;;;;;;;;
261;Vervaardiging van elektronische componenten en printplaten;;;;;;;;;;;;;
2611;Vervaardiging van elektronische componenten;;;;;;;;;;;;;
2612;Vervaardiging van elektronische printplaten;;;;;;;;;;;;;
;;;;;;;;;;;;;;
262;Vervaardiging van computers en randapparatuur;;;;;;;;;;;;;
2620;Vervaardiging van computers en randapparatuur;;;;;;;;;;;;;
;;;;;;;;;;;;;;
263;Vervaardiging van communicatieapparatuur;;;;;;;;;;;;;
2630;Vervaardiging van communicatieapparatuur;;;;;;;;;;;;;
;;;;;;;;;;;;;;
264;Vervaardiging van consumentenelektronica;;;;;;;;;;;;;
2640;Vervaardiging van consumentenelektronica;;;;;;;;;;;;;
;;;;;;;;;;;;;;
265;Vervaardiging van meet-, regel-, navigatie- en controleapparatuur en van uurwerken;;;;;;;;;;;;;
2651;Vervaardiging van meet-, regel-, navigatie- en controleapparatuur;;;;;;;;;;;;;
2652;Vervaardiging van uurwerken;;;;;;;;;;;;;
;;;;;;;;;;;;;;
266;Vervaardiging van bestralingsapparatuur en van elektromedische en elektrotherapeutische apparatuur;;;;;;;;;;;;;
2660;Vervaardiging van bestralingsapparatuur en van elektromedische en elektrotherapeutische apparatuur;;;;;;;;;;;;;
;;;;;;;;;;;;;;
267;Vervaardiging van optische instrumenten en apparatuur;;;;;;;;;;;;;
2670;Vervaardiging van optische instrumenten en apparatuur;;;;;;;;;;;;;
;;;;;;;;;;;;;;
268;Vervaardiging van informatiedragers;;;;;;;;;;;;;
2680;Vervaardiging van informatiedragers;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
27;Vervaardiging van elektrische apparatuur;;;;;;;;;;;;;
;;;;;;;;;;;;;;
271;Vervaardiging van elektromotoren, elektrische generatoren en transformatoren en van schakel- en verdeelinrichtingen;;;;;;;;;;;;;
2711;Vervaardiging van elektromotoren,  elektrische generatoren en transformatoren;;;;;;;;;;;;;
2712;Vervaardiging van schakel- en verdeelinrichtingen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
272;Vervaardiging van batterijen en accumulatoren;;;;;;;;;;;;;
2720;Vervaardiging van batterijen en accumulatoren;;;;;;;;;;;;;
;;;;;;;;;;;;;;
273;Vervaardiging van elektrische en elektronische kabels en van schakelaars, stekkers, stopcontacten ed;;;;;;;;;;;;;
2731;Vervaardiging van kabels van optische vezels;;;;;;;;;;;;;
2732;Vervaardiging van overige elektrische en elektronische kabel;;;;;;;;;;;;;
2733;Vervaardiging van schakelaars, stekkers, stopcontacten ed;;;;;;;;;;;;;
;;;;;;;;;;;;;;
274;Vervaardiging van elektrische lampen en verlichtingsapparaten ;;;;;;;;;;;;;
2740;Vervaardiging van elektrische lampen en verlichtingsapparaten ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
275;Vervaardiging van huishoudapparaten;;;;;;;;;;;;;
2751;Vervaardiging van elektrische huishoudapparaten;;;;;;;;;;;;;
2752;Vervaardiging van niet-elektrische huishoudapparaten;;;;;;;;;;;;;
;;;;;;;;;;;;;;
279;Vervaardiging van overige elektrische apparatuur;;;;;;;;;;;;;
2790;Vervaardiging van overige elektrische apparatuur;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
28;Vervaardiging van overige machines en apparaten;;;;;;;;;;;;;
;;;;;;;;;;;;;;
281;Vervaardiging van motoren, turbines, pompen, compressoren, appendages en drijfwerkelementen;;;;;;;;;;;;;
2811;Vervaardiging van motoren en turbines (niet voor vliegtuigen, motorvoertuigen en bromfietsen);;;;;;;;;;;;;
2812;Vervaardiging van hydraulische apparatuur;;;;;;;;;;;;;
2813;Vervaardiging van niet-hydraulische pompen en compressoren;;;;;;;;;;;;;
2814;Vervaardiging van appendages;;;;;;;;;;;;;
2815;Vervaardiging van tandwielen, lagers en overige drijfwerkelementen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
282;Vervaardiging van overige machines en apparaten voor algemeen gebruik;;;;;;;;;;;;;
2821;Vervaardiging van industriële ovens en branders;;;;;;;;;;;;;
2822;Vervaardiging van hijs-, hef- en transportwerktuigen;;;;;;;;;;;;;
2823;Vervaardiging van kantoormachines en -apparatuur (geen computers en randapparatuur);;;;;;;;;;;;;
2824;Vervaardiging van pneumatisch en elektrisch handgereedschap ;;;;;;;;;;;;;
2825;Vervaardiging van machines en apparaten voor industriële  koeltechniek en  klimaatregeling;;;;;;;;;;;;;
2829;Vervaardiging van  overige machines en apparaten voor algemeen gebruik (rest);;;;;;;;;;;;;
;;;;;;;;;;;;;;
283;Vervaardiging van machines en werktuigen voor de land- en bosbouw;;;;;;;;;;;;;
2830;Vervaardiging van machines en werktuigen voor de land- en bosbouw;;;;;;;;;;;;;
;;;;;;;;;;;;;;
284;Vervaardiging van gereedschapswerktuigen ;;;;;;;;;;;;;
2841;Vervaardiging van gereedschapswerktuigen voor metaalbewerking;;;;;;;;;;;;;
2849;Vervaardiging van  gereedschapswerktuigen niet voor metaalbewerking;;;;;;;;;;;;;
;;;;;;;;;;;;;;
289;Vervaardiging van overige machines, apparaten en werktuigen voor specifieke doeleinden;;;;;;;;;;;;;
2891;Vervaardiging van machines voor de metallurgie;;;;;;;;;;;;;
2892;Vervaardiging van machines voor de bouw en winning van delfstoffen;;;;;;;;;;;;;
2893;Vervaardiging van machines voor de productie van voedings- en genotmiddelen;;;;;;;;;;;;;
2894;Vervaardiging van machines voor de productie van textiel, kleding en leer;;;;;;;;;;;;;
2895;Vervaardiging van machines voor de productie van papier en karton;;;;;;;;;;;;;
2896;Vervaardiging van machines voor de kunststof- en rubberindustrie;;;;;;;;;;;;;
2899;Vervaardiging van overige machines, apparaten en werktuigen voor specifieke doeleinden (rest);;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
29;Vervaardiging van auto's, aanhangwagens en opleggers;;;;;;;;;;;;;
;;;;;;;;;;;;;;
291;Vervaardiging van auto's;;;;;;;;;;;;;
2910;Vervaardiging van auto's;;;;;;;;;;;;;
;;;;;;;;;;;;;;
292;Carrosseriebouw: vervaardiging van aanhangwagens en opleggers;;;;;;;;;;;;;
2920;Carrosseriebouw: vervaardiging van aanhangwagens en opleggers;;;;;;;;;;;;;
29201;Carrosseriebouw;;;;;;;;;;;;;
29202;Vervaardiging van aanhangwagens en opleggers;;;;;;;;;;;;;
;;;;;;;;;;;;;;
293;Vervaardiging van onderdelen en toebehoren voor auto's ;;;;;;;;;;;;;
2931;Vervaardiging van elektrische en elektronische onderdelen en toebehoren  voor auto's ;;;;;;;;;;;;;
2932;Vervaardiging van niet-elektrische en -elektronische  onderdelen en toebehoren voor auto's;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
30;Vervaardiging van overige transportmiddelen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
301;Scheepsbouw;;;;;;;;;;;;;
3011;Bouw van schepen en drijvend materieel (geen sport- en recreatievaartuigen) ;;;;;;;;;;;;;
3012;Bouw van sport- en recreatievaartuigen ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
302;Vervaardiging van rollend spoor- en tramwegmaterieel;;;;;;;;;;;;;
3020;Vervaardiging van rollend spoor- en tramwegmaterieel ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
303;Vervaardiging van vliegtuigen en onderdelen daarvoor;;;;;;;;;;;;;
3030;Vervaardiging van vliegtuigen en onderdelen daarvoor;;;;;;;;;;;;;
;;;;;;;;;;;;;;
304;Vervaardiging van militaire gevechtsvoertuigen;;;;;;;;;;;;;
3040;Vervaardiging van militaire gevechtsvoertuigen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
309;Vervaardiging van transportmiddelen (rest);;;;;;;;;;;;;
3091;Vervaardiging van motor- en bromfietsen;;;;;;;;;;;;;
3092;Vervaardiging van fietsen en invalidenwagens;;;;;;;;;;;;;
3099;Vervaardiging van overige transportmiddelen (rest);;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
31;Vervaardiging van meubels;;;;;;;;;;;;;
;;;;;;;;;;;;;;
310;Vervaardiging van meubels;;;;;;;;;;;;;
3101;Interieurbouw en vervaardiging van bedrijfsmeubels;;;;;;;;;;;;;
31011;Interieurbouw;;;;;;;;;;;;;
31012;Vervaardiging van bedrijfsmeubels;;;;;;;;;;;;;
3102;Vervaardiging van keukenmeubels;;;;;;;;;;;;;
3103;Vervaardiging van matrassen;;;;;;;;;;;;;
3109;Vervaardiging van overige meubels;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
32;Vervaardiging van overige goederen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
321;Slaan van munten: bewerken van edelstenen en vervaardiging van sieraden ed;;;;;;;;;;;;;
3211;Slaan van munten en medailles;;;;;;;;;;;;;
3212;Bewerken van edelstenen en vervaardiging van sieraden ed (geen imitatie);;;;;;;;;;;;;
3213;Vervaardiging van imitatiesieraden ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
322;Vervaardiging van muziekinstrumenten;;;;;;;;;;;;;
3220;Vervaardiging van muziekinstrumenten;;;;;;;;;;;;;
;;;;;;;;;;;;;;
323;Vervaardiging van sportartikelen;;;;;;;;;;;;;
3230;Vervaardiging van sportartikelen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
324;Vervaardiging van speelgoed en spellen;;;;;;;;;;;;;
3240;Vervaardiging van speelgoed en spellen;;;;;;;;;;;;;
325;Vervaardiging van medische instrumenten en hulpmiddelen;;;;;;;;;;;;;
3250;Vervaardiging van medische instrumenten en hulpmiddelen;;;;;;;;;;;;;
32501;Tandtechnische bedrijven;;;;;;;;;;;;;
32502;Vervaardiging van medische instrumenten en hulpmiddelen (geen tandtechniek);;;;;;;;;;;;;
;;;;;;;;;;;;;;
329;Vervaardiging van overige goederen;;;;;;;;;;;;;
3291;Vervaardiging van borstelwaren;;;;;;;;;;;;;
3299;Sociale werkvoorziening en vervaardiging van overige goederen (rest);;;;;;;;;;;;;
32991;Sociale werkvoorziening;;;;;;;;;;;;;
32999;Vervaardiging van overige goederen (rest);;;;;;;;;;;;;
;;;;;;;;;;;;;;
;  ;;;;;;;;;;;;;
33;Reparatie en installatie van machines en apparaten;;;;;;;;;;;;;
;;;;;;;;;;;;;;
331;Reparatie van producten van metaal, machines en apparatuur;;;;;;;;;;;;;
3311;Reparatie van producten van metaal;;;;;;;;;;;;;
3312;Reparatie en onderhoud van machines;;;;;;;;;;;;;
33121;Reparatie en onderhoud van machines voor algemeen gebruik en machineonderdelen (geen gereedschap);;;;;;;;;;;;;
33122;Reparatie en onderhoud van pneumatisch en elektrisch gereedschap en gereedschapswerktuigen;;;;;;;;;;;;;
33123;Reparatie en onderhoud van machines voor een specifieke bedrijfstak;;;;;;;;;;;;;
3313;Reparatie van elektronische en optische apparatuur;;;;;;;;;;;;;
3314;Reparatie van elektrische apparatuur;;;;;;;;;;;;;
3315;Reparatie en onderhoud van schepen;;;;;;;;;;;;;
3316;Reparatie en onderhoud van vliegtuigen;;;;;;;;;;;;;
3317;Reparatie en onderhoud van overige transportmiddelen;;;;;;;;;;;;;
3319;Reparatie van overige apparatuur;;;;;;;;;;;;;
;;;;;;;;;;;;;;
332;Installatie van industriële machines en apparatuur;;;;;;;;;;;;;
3321;Installatie van ketels en tanks;;;;;;;;;;;;;
3322;Installatie van industriële machines;;;;;;;;;;;;;
33221;Installatie van machines voor algemeen gebruik (geen gereedschap);;;;;;;;;;;;;
33222;Installatie van pneumatisch en elektrisch gereedschap en gereedschapswerktuigen;;;;;;;;;;;;;
33223;Installatie van machines voor een specifieke bedrijfstak;;;;;;;;;;;;;
3323;Installatie van elektronische en optische apparatuur;;;;;;;;;;;;;
3324;Installatie van elektrische apparatuur;;;;;;;;;;;;;
3329;Installatie van overige toebehoren;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
 D;Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
35;Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht;;;;;;;;;;;;;
;;;;;;;;;;;;;;
351;Productie van elektriciteit: transmissie en distributie van elektriciteit en aardgas;;;;;;;;;;;;;
3511;Productie van elektriciteit;;;;;;;;;;;;;
35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;;;;;;;;;;;;;
35112;Productie van elektriciteit door windenergie ;;;;;;;;;;;;;
35113;Productie van elektriciteit door zonnecellen, warmtepompen en waterkracht;;;;;;;;;;;;;
3512;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;;;;;;;;;;;;;
3513;Distributie van elektriciteit en gasvormige brandstoffen via leidingen;;;;;;;;;;;;;
3514;Handel in elektriciteit en in gas via leidingen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
352;Productie van aardgas;;;;;;;;;;;;;
3520;Productie van aardgas;;;;;;;;;;;;;
353;Productie en distributie van stoom en gekoelde lucht;;;;;;;;;;;;;
3530;Productie en distributie van stoom en gekoelde lucht;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
E;Winning en distributie van water: afval- en afvalwaterbeheer en sanering ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
36;Winning en distributie van water;;;;;;;;;;;;;
;;;;;;;;;;;;;;
360;Winning en distributie van water;;;;;;;;;;;;;
3600;Winning en distributie van water;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
37;Afvalwaterinzameling en -behandeling;;;;;;;;;;;;;
;;;;;;;;;;;;;;
370;Afvalwaterinzameling en -behandeling;;;;;;;;;;;;;
3700;Afvalwaterinzameling en -behandeling;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
38;Afvalinzameling en -behandeling: voorbereiding tot recycling;;;;;;;;;;;;;
;;;;;;;;;;;;;;
381;Inzameling van afval;;;;;;;;;;;;;
3811;Inzameling van onschadelijk afval;;;;;;;;;;;;;
3812;Inzameling van schadelijk afval;;;;;;;;;;;;;
;;;;;;;;;;;;;;
382;Behandeling van afval;;;;;;;;;;;;;
3821;Behandeling van onschadelijk afval;;;;;;;;;;;;;
3822;Behandeling van schadelijk afval;;;;;;;;;;;;;
;;;;;;;;;;;;;;
383;Voorbereiding tot recycling;;;;;;;;;;;;;
3831;Sloop van schepen, witgoed, computers ed ;;;;;;;;;;;;;
3832;Gesorteerd materiaal voorbereiden tot recycling;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
39;Sanering en overig afvalbeheer;;;;;;;;;;;;;
;;;;;;;;;;;;;;
390;Sanering en overig afvalbeheer;;;;;;;;;;;;;
3900;Sanering en overig afvalbeheer;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
F;Bouwnijverheid;;;;;;;;;;;;;
;;;;;;;;;;;;;;
41;Algemene burgerlijke en utiliteitsbouw en projectontwikkeling;;;;;;;;;;;;;
;;;;;;;;;;;;;;
411;Projectontwikkeling;;;;;;;;;;;;;
4110;Projectontwikkeling;;;;;;;;;;;;;
;;;;;;;;;;;;;;
412;Algemene burgerlijke en utiliteitsbouw;;;;;;;;;;;;;
4120;Algemene burgerlijke en utiliteitsbouw;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
42;Grond-, water- en wegenbouw (geen grondverzet) ;;;;;;;;;;;;;
421;Bouw van wegen, spoorwegen en kunstwerken;;;;;;;;;;;;;
4211;Wegenbouw en stratenmaken;;;;;;;;;;;;;
42111;Wegenbouw;;;;;;;;;;;;;
42112;Stratenmaken;;;;;;;;;;;;;
4212;Bouw van boven- en ondergrondse spoorwegen;;;;;;;;;;;;;
4213;Bouw van kunstwerken;;;;;;;;;;;;;
;;;;;;;;;;;;;;
422;Leggen van kabels en buizen ;;;;;;;;;;;;;
4221;Leggen van rioleringen, buizen en pijpleidingen: aanleg van bronbemaling;;;;;;;;;;;;;
4222;Leggen van elektriciteits- en telecommunicatiekabels ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
429;Bouw van overige civieltechnische werken;;;;;;;;;;;;;
4291;Natte waterbouw;;;;;;;;;;;;;
4299;Bouw van overige civieltechnische werken (rest);;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
43;Gespecialiseerde werkzaamheden in de bouw;;;;;;;;;;;;;
;;;;;;;;;;;;;;
431;Slopen van bouwwerken, grondverzet en proefboren;;;;;;;;;;;;;
4311;Slopen van bouwwerken;;;;;;;;;;;;;
4312;Grondverzet;;;;;;;;;;;;;
4313;Proefboren;;;;;;;;;;;;;
;;;;;;;;;;;;;;
432;Bouwinstallatie;;;;;;;;;;;;;
4321;Elektrotechnische bouwinstallatie;;;;;;;;;;;;;
4322;Loodgieters- en fitterswerk: installatie van sanitair en van verwarmings- en luchtbehandelingsapparatuur;;;;;;;;;;;;;
43221;Loodgieters- en fitterswerk: installatie van sanitair ;;;;;;;;;;;;;
43222;Installatie van verwarmings- en luchtbehandelingsapparatuur;;;;;;;;;;;;;
4329;Overige bouwinstallatie;;;;;;;;;;;;;
;;;;;;;;;;;;;;
433;Afwerking van gebouwen;;;;;;;;;;;;;
4331;Stukadoren;;;;;;;;;;;;;
4332;Bouwtimmeren;;;;;;;;;;;;;
4333;Afwerking van vloeren en wanden ;;;;;;;;;;;;;
4334;Schilderen en glaszetten;;;;;;;;;;;;;
4339;Overige afwerking van gebouwen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
439;Dakbouw en overige gespecialiseerde werkzaamheden in de bouw;;;;;;;;;;;;;
4391;Dakdekken en bouwen van dakconstructies ;;;;;;;;;;;;;
4399;Overige gespecialiseerde werkzaamheden in de bouw;;;;;;;;;;;;;
43991;Heien en andere funderingswerkzaamheden;;;;;;;;;;;;;
43992;Vlechten van betonstaal;;;;;;;;;;;;;
43993;Metselen en voegen;;;;;;;;;;;;;
43999;Overige gespecialiseerde werkzaamheden in de bouw (rest);;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
G;Groot- en detailhandel: reparatie van auto’s ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
45;Handel in en reparatie van auto’s, motorfietsen en aanhangers;;;;;;;;;;;;;
;;;;;;;;;;;;;;
451;Handel in auto’s en aanhangers, eventueel gecombineerd met reparatie;;;;;;;;;;;;;
4511;Handel in en reparatie van personenauto's en lichte bedrijfsauto’s;;;;;;;;;;;;;
45111;Import van nieuwe personenauto's en lichte bedrijfsauto’s;;;;;;;;;;;;;
45112;Handel in en reparatie van personenauto's en lichte bedrijfsauto’s (geen import van nieuwe);;;;;;;;;;;;;
4519;Handel in en reparatie van zwaardere bedrijfsauto’s, aanhangers en caravans;;;;;;;;;;;;;
45191;Import van nieuwe bedrijfsauto's;;;;;;;;;;;;;
45192;Handel in en reparatie van zwaardere bedrijfsauto's (geen import van nieuwe) ;;;;;;;;;;;;;
45193;Handel in en reparatie van aanhangwagens en opleggers (geen caravans);;;;;;;;;;;;;
45194;Handel in en reparatie van caravans;;;;;;;;;;;;;
452;Gespecialiseerde reparatie van auto's;;;;;;;;;;;;;
4520;Gespecialiseerde reparatie van auto's;;;;;;;;;;;;;
45201;Auto-onderdelenservicebedrijven;;;;;;;;;;;;;
45202;Bandenservicebedrijven;;;;;;;;;;;;;
45203;Reparatie van specifieke auto-onderdelen;;;;;;;;;;;;;
45204;Carrosserieherstel;;;;;;;;;;;;;
45205;Overige gespecialiseerde reparatie: wassen en slepen van auto's;;;;;;;;;;;;;
;;;;;;;;;;;;;;
453;Handel in auto-onderdelen en -accessoires ;;;;;;;;;;;;;
4531;Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires;;;;;;;;;;;;;
45311;Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires (geen banden);;;;;;;;;;;;;
45312;Groothandel en handelsbemiddeling in banden;;;;;;;;;;;;;
4532;Detailhandel in auto-onderdelen en -accessoires;;;;;;;;;;;;;
;;;;;;;;;;;;;;
454;Handel in en reparatie van motorfietsen en onderdelen daarvan ;;;;;;;;;;;;;
4540;Handel in en reparatie van motorfietsen en onderdelen daarvan;;;;;;;;;;;;;
45401;Groothandel en handelsbemiddeling in motorfietsen en onderdelen daarvan;;;;;;;;;;;;;
45402;Detailhandel in en reparatie van motorfietsen en onderdelen daarvan;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
46;Groothandel en handelsbemiddeling (niet in auto's en motorfietsen);;;;;;;;;;;;;
;;;;;;;;;;;;;;
461;Handelsbemiddeling;;;;;;;;;;;;;
4611;Handelsbemiddeling in landbouwproducten, levende dieren en grondstoffen voor textiel en voedingsmiddelen ;;;;;;;;;;;;;
4612;Handelsbemiddeling in brandstoffen, ertsen, metalen en chemische producten ;;;;;;;;;;;;;
4613;Handelsbemiddeling in hout, vlakglas, sanitair en bouwmaterialen ;;;;;;;;;;;;;
4614;Handelsbemiddeling in machines, technische benodigdheden, schepen en vliegtuigen;;;;;;;;;;;;;
4615;Handelsbemiddeling in meubels, huishoudelijke artikelen en ijzerwaren ;;;;;;;;;;;;;
4616;Handelsbemiddeling in textiel, kleding, schoeisel en lederwaren;;;;;;;;;;;;;
4617;Handelsbemiddeling in voedings- en genotmiddelen;;;;;;;;;;;;;
4618;Handelsbemiddeling gespecialiseerd in overige goederen;;;;;;;;;;;;;
4619;Niet-gespecialiseerde handelsbemiddeling ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
462;Groothandel in landbouwproducten en levende dieren;;;;;;;;;;;;;
4621;Groothandel in granen, ruwe tabak, oliën, zaden en veevoer;;;;;;;;;;;;;
46211;Groothandel in granen                                                  ;;;;;;;;;;;;;
46212;Groothandel in zaden, pootgoed en peulvruchten ;;;;;;;;;;;;;
46213;Groothandel in hooi, stro en ruwvoeder ;;;;;;;;;;;;;
46214;Groothandel in meng- en krachtvoeder ;;;;;;;;;;;;;
46215;Groothandel in veevoeder (geen ruw-, meng- en krachtvoeder) ;;;;;;;;;;;;;
46216;Groothandel in ruwe plantaardige en dierlijke oliën en vetten en oliehoudende grondstoffen;;;;;;;;;;;;;
46217;Groothandel in ruwe tabak;;;;;;;;;;;;;
46218;Groothandel in akkerbouwproducten en veevoeder algemeen assortiment;;;;;;;;;;;;;
46219;Groothandel in overige akkerbouwproducten;;;;;;;;;;;;;
4622;Groothandel in bloemen en planten;;;;;;;;;;;;;
4623;Groothandel in levende dieren;;;;;;;;;;;;;
46231;Groothandel in levend vee;;;;;;;;;;;;;
46232;Groothandel in huisdieren, siervissen, siervogels en wilde dieren;;;;;;;;;;;;;
4624;Groothandel in huiden, vellen, leer en halffabrikaten van leer;;;;;;;;;;;;;
46241;Groothandel in huiden en vellen;;;;;;;;;;;;;
46242;Groothandel in leer en halffabrikaten van leer;;;;;;;;;;;;;
;;;;;;;;;;;;;;
463;Groothandel in voedings- en genotmiddelen;;;;;;;;;;;;;
4631;Groothandel in groenten en fruit en in consumptieaardappelen;;;;;;;;;;;;;
46311;Groothandel in groenten en fruit;;;;;;;;;;;;;
46312;Groothandel in consumptieaardappelen;;;;;;;;;;;;;
4632;Groothandel in vlees en vleeswaren en in wild en gevogelte (niet levend);;;;;;;;;;;;;
4633;Groothandel in zuivelproducten, spijsoliën en -vetten en eieren;;;;;;;;;;;;;
46331;Groothandel in zuivelproducten en spijsoliën en -vetten;;;;;;;;;;;;;
46332;Groothandel in eieren;;;;;;;;;;;;;
4634;Groothandel in dranken (geen zuivel);;;;;;;;;;;;;
4635;Groothandel in tabaksproducten en rokersbenodigdheden;;;;;;;;;;;;;
4636;Groothandel in suiker, chocolade en suikerwerk;;;;;;;;;;;;;
4637;Groothandel in koffie, thee, cacao en specerijen (geen ruwe);;;;;;;;;;;;;
4638;Groothandel in overige voedingsmiddelen en in overige grondstoffen en halffabrikaten voor de voedingsmiddelenindustrie;;;;;;;;;;;;;
46381;Groothandel in snacks ;;;;;;;;;;;;;
46382;Groothandel in vis, schaal- en weekdieren ;;;;;;;;;;;;;
46383;Gespecialiseerde groothandel in overige voedings- en genotmiddelen (rest);;;;;;;;;;;;;
46384;Groothandel in bakkerijgrondstoffen ;;;;;;;;;;;;;
46389;Gespecialiseerde groothandel in overige grondstoffen en halffabrikaten voor de voedingsmiddelen industrie (rest) ;;;;;;;;;;;;;
4639;Groothandel in voedings- en genotmiddelen algemeen assortiment;;;;;;;;;;;;;
;;;;;;;;;;;;;;
464;Groothandel in consumentenartikelen (non-food);;;;;;;;;;;;;
4641;Groothandel in kledingstoffen, fournituren en huishoudtextiel;;;;;;;;;;;;;
46411;Groothandel in kledingstoffen en fournituren;;;;;;;;;;;;;
46412;Groothandel in huishoudtextiel en beddengoed;;;;;;;;;;;;;
4642;Groothandel in kleding, schoenen en modeartikelen;;;;;;;;;;;;;
46421;Groothandel in bovenkleding;;;;;;;;;;;;;
46422;Groothandel in werkkleding;;;;;;;;;;;;;
46423;Groothandel in onderkleding;;;;;;;;;;;;;
46424;Groothandel in schoenen;;;;;;;;;;;;;
46425;Groothandel in modeartikelen;;;;;;;;;;;;;
46429;Groothandel in textielwaren algemeen assortiment;;;;;;;;;;;;;
4643;Groothandel in elektrische huishoudelijke apparatuur, audio- en videoapparatuur en fotografische en optische artikelen ;;;;;;;;;;;;;
46431;Groothandel in witgoed ;;;;;;;;;;;;;
46432;Groothandel in elektrische huishoudelijke apparatuur (geen witgoed, audio en video);;;;;;;;;;;;;
46433;Groothandel in audio- en videoapparatuur ;;;;;;;;;;;;;
46434;Groothandel in fotografische artikelen;;;;;;;;;;;;;
46435;Groothandel in beeld- en geluidsdragers;;;;;;;;;;;;;
46436;Groothandel in optische artikelen;;;;;;;;;;;;;
4644;Groothandel in glas, porselein en aardewerk en in reinigingsmiddelen ;;;;;;;;;;;;;
46441;Groothandel in glas, porselein en aardewerk;;;;;;;;;;;;;
46442;Groothandel in was-, poets- en reinigingsmiddelen;;;;;;;;;;;;;
4645;Groothandel in parfums en cosmetica;;;;;;;;;;;;;
4646;Groothandel in farmaceutische producten, medische instrumenten en orthopedische artikelen ;;;;;;;;;;;;;
46461;Groothandel in farmaceutische producten;;;;;;;;;;;;;
46462;Groothandel in medische en tandheelkundige instrumenten, verpleeg- en orthopedische artikelen en laboratoriumbenodigdheden;;;;;;;;;;;;;
4647;Groothandel in huismeubilair, woningtextiel, vloerbedekking en verlichting ;;;;;;;;;;;;;
46471;Groothandel in huismeubilair;;;;;;;;;;;;;
46472;Groothandel in woningtextiel en vloerbedekking;;;;;;;;;;;;;
46473;Groothandel in verlichtingsartikelen;;;;;;;;;;;;;
4648;Groothandel in juweliersartikelen en uurwerken;;;;;;;;;;;;;
